Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government
India,2021,3.558253765106201,8.807804107666016,0.5697329044342041,60.900001525878906,0.8661109209060669,0.056761484593153,0.756820023059845,0.7854753732681274
Indonesia,2021,5.433173179626465,9.367486953735352,0.8169246912002563,63.04999923706055,0.8848558664321899,0.5458282232284546,0.8450802564620972,0.8403391242027283
Iran,2021,4.787814140319824,9.462799072265625,0.7714695334434509,66.5999984741211,0.6093102693557739,0.18741923570632935,0.7611703276634216,0.6176494359970093
Iraq,2021,5.093667984008789,9.109132766723633,0.7302128672599792,63.650001525878906,0.5944667458534241,0.008787567727267742,0.9006400108337402,0.4237942695617676
Ireland,2021,6.8276519775390625,11.54503345489502,0.849838137626648,71.30000305175781,0.8463441133499146,0.13382919132709503,0.36042338609695435,0.6233894228935242
Israel,2021,7.57752799987793,10.616640090942383,0.916583240032196,72.69999694824219,0.8197770118713379,-0.0019830225501209497,0.7260037660598755,0.43959468603134155
Italy,2021,6.466744899749756,10.63541316986084,0.8855336308479309,72.05000305175781,0.7028452157974243,-0.09175100922584534,0.8623175024986267,0.35429391264915466
Ivory Coast,2021,5.055806636810303,8.58843994140625,0.5542248487472534,55.95000076293945,0.7171052694320679,-0.00017682803445495665,0.7158969640731812,0.6682884693145752
Jamaica,2021,5.8137335777282715,9.11596965789795,0.8573675751686096,66.5999984741211,0.7306572794914246,-0.07591003179550171,0.8827446103096008,0.32580041885375977
Japan,2021,6.091324806213379,10.623948097229004,0.8957377076148987,74.3499984741211,0.8013503551483154,-0.20987120270729065,0.6695467233657837,0.29078567028045654
Jordan,2021,3.909149169921875,9.203712463378906,0.7029181718826294,67.5999984741211,0.7731134295463562,-0.14905554056167603,0.655549168586731,0.7911784052848816
Kazakhstan,2021,6.259634017944336,10.162810325622559,0.906053364276886,65.80000305175781,0.8074890971183777,0.03874624893069267,0.7824940085411072,0.5351697206497192
Kenya,2021,4.464540958404541,8.402458190917969,0.702200710773468,58.5,0.6781082153320312,0.32245874404907227,0.841331422328949,0.5147581696510315
Kyrgyzstan,2021,5.563699722290039,8.458740234375,0.904273271560669,66.8499984741211,0.917870819568634,0.20692232251167297,0.9025155901908875,0.5821152925491333
Latvia,2021,6.353090763092041,10.35994815826416,0.954086422920227,66.4000015258789,0.8152781128883362,-0.09903203696012497,0.8395253419876099,0.2946023941040039
Lebanon,2021,2.178809404373169,9.243083953857422,0.5067752599716187,66.1500015258789,0.42269667983055115,-0.1429421752691269,0.9052790999412537,0.10669436305761337
Lithuania,2021,6.864572525024414,10.571645736694336,0.9281752109527588,67.4000015258789,0.7074025273323059,-0.11704237759113312,0.8778007626533508,0.30383044481277466
Malawi,2021,3.6352832317352295,7.316189289093018,0.5579143166542053,58.20000076293945,0.757269024848938,-0.008707582950592041,0.7402769923210144,0.5140032768249512
Mali,2021,4.113095760345459,7.717709541320801,0.5733935236930847,55.400001525878906,0.6727892756462097,-0.0024135049898177385,0.901567280292511,0.49901828169822693
Mauritius,2021,5.949120044708252,9.925987243652344,0.886509895324707,63.849998474121094,0.8023645877838135,-0.007317984011024237,0.7835320830345154,0.5271456241607666
Mexico,2021,5.990750789642334,9.837133407592773,0.7786051034927368,65.80000305175781,0.8371593356132507,-0.031366970390081406,0.7451868057250977,0.48332610726356506
Moldova,2021,5.959048748016357,9.500629425048828,0.879554033279419,65.30000305175781,0.8326022624969482,-0.09025902301073074,0.8750606775283813,0.36378762125968933
Mongolia,2021,5.721034049987793,9.387740135192871,0.9271169900894165,60.5,0.6668466329574585,0.217352956533432,0.8507202863693237,0.25700196623802185
Mozambique,2021,5.1784868240356445,7.108412265777588,0.66402268409729,51.29999923706055,0.8381004929542542,0.04848666116595268,0.6274664402008057,0.7319716811180115
Myanmar,2021,4.314039707183838,8.281549453735352,0.7795764207839966,61.54999923706055,0.6313943862915039,0.5148332715034485,0.6710634827613831,0.30571287870407104
Namibia,2021,4.491207122802734,9.077544212341309,0.8078007698059082,56.849998474121094,0.6585052609443665,-0.14460042119026184,0.8289667367935181,0.529419481754303
Nepal,2021,4.622300148010254,8.242314338684082,0.6986464262008667,61.849998474121094,0.8175446391105652,0.1497962921857834,0.76994788646698,0.6175416707992554
Netherlands,2021,7.314151287078857,10.939846992492676,0.9187594056129456,71.55000305175781,0.8562934398651123,0.26932358741760254,0.39657288789749146,0.5847387909889221
New Zealand,2021,7.136700630187988,10.688973426818848,0.9498322010040283,70.3499984741211,0.9102498292922974,0.21934166550636292,0.25242355465888977,0.6348978281021118
Nicaragua,2021,6.095348834991455,8.613727569580078,0.8482630252838135,65.6500015258789,0.904980480670929,0.026981785893440247,0.6746687293052673,0.5895014405250549
Nigeria,2021,4.4792656898498535,8.498640060424805,0.7415601015090942,55.04999923706055,0.7257328629493713,0.05217357352375984,0.911945104598999,0.2523345351219177
North Macedonia,2021,5.534749984741211,9.717192649841309,0.8088569641113281,66.5,0.7929657697677612,0.19251707196235657,0.8843253254890442,0.3591215908527374
Norway,2021,7.361573696136475,11.094626426696777,0.9478774070739746,71.5,0.9363791942596436,0.169224351644516,0.26327696442604065,0.773523211479187
Panama,2021,6.552778720855713,10.22175407409668,0.8986212611198425,68.9000015258789,0.8106819987297058,-0.14052103459835052,0.8610625863075256,0.33480796217918396
Paraguay,2021,5.575535297393799,9.454678535461426,0.9075418710708618,65.9000015258789,0.8879607915878296,0.023795349523425102,0.856721043586731,0.2901664078235626
Peru,2021,5.694317817687988,9.44045639038086,0.8185394406318665,69.8499984741211,0.8117775321006775,-0.08586414158344269,0.8799137473106384,0.30032289028167725
Philippines,2021,5.965057849884033,9.020073890686035,0.7781921029090881,62.04999923706055,0.9052754640579224,-0.008593549951910973,0.7211622595787048,0.7632086873054504
Poland,2021,5.978068828582764,10.43639850616455,0.9355348348617554,69.05000305175781,0.7318055629730225,0.12740182876586914,0.7439131736755371,0.2592516541481018
Portugal,2021,6.183014392852783,10.4163179397583,0.8949416875839233,71.25,0.8921211361885071,-0.20704860985279083,0.8722293376922607,0.5761864185333252
Romania,2021,6.548725605010986,10.334346771240234,0.8345091342926025,67.05000305175781,0.8709579706192017,-0.18247215449810028,0.9282801151275635,0.19229361414909363
Russia,2021,5.448261260986328,10.227689743041992,0.8617165684700012,64.94999694824219,0.6708101630210876,0.05840759351849556,0.8078392744064331,0.45699208974838257
Senegal,2021,4.902830600738525,8.127270698547363,0.645179271697998,60.0,0.7585251331329346,0.03421959653496742,0.821348249912262,0.4542217552661896
Serbia,2021,6.245267391204834,9.874162673950195,0.8901060819625854,67.1500015258789,0.8503679037094116,0.2669321596622467,0.806221604347229,0.6054548025131226
Sierra Leone,2021,3.71429443359375,7.421621799468994,0.6093341112136841,54.5,0.6591395139694214,0.10886212438344955,0.8514884114265442,0.7530322074890137
Slovakia,2021,6.418503761291504,10.356863975524902,0.9511638879776001,68.94999694824219,0.7415332198143005,0.04863395541906357,0.895546555519104,0.21580758690834045
Slovenia,2021,6.761220932006836,10.57335090637207,0.9552525877952576,71.05000305175781,0.8510867357254028,0.03090122900903225,0.7541981935501099,0.3392358124256134
South Africa,2021,5.598653793334961,9.48507308959961,0.9222387671470642,57.25,0.7035647034645081,-0.14279575645923615,0.8915786147117615,0.5089614987373352
South Korea,2021,6.11274528503418,10.692127227783203,0.8107407689094543,73.6500015258789,0.7170863747596741,-0.02929736115038395,0.6851145625114441,0.4338291883468628
Spain,2021,6.469611167907715,10.536587715148926,0.9264167547225952,72.3499984741211,0.7817949652671814,-0.07189786434173584,0.7293469905853271,0.3717038035392761
Sri Lanka,2021,4.103446960449219,9.463738441467285,0.8123739361763,67.19999694824219,0.7714300155639648,-0.006883007939904928,0.8485414981842041,0.5049233436584473
Sweden,2021,7.439280033111572,10.873429298400879,0.9318195581436157,72.1500015258789,0.953379213809967,0.17698846757411957,0.1914730966091156,0.6335361003875732
Switzerland,2021,7.327672481536865,11.160125732421875,0.934393048286438,72.9000015258789,0.9078753590583801,0.0265888050198555,0.28667256236076355,0.8378480672836304
Tanzania,2021,3.680567979812622,7.889876365661621,0.6189844012260437,59.400001525878906,0.8217728137969971,0.11301374435424805,0.5463870763778687,0.8913909196853638
Thailand,2021,5.638096809387207,9.765044212341309,0.8828219175338745,68.44999694824219,0.8355903029441833,0.29319825768470764,0.9431293606758118,0.2394331693649292
Togo,2021,4.036543846130371,7.6797895431518555,0.6033996939659119,57.20000076293945,0.6185206770896912,0.04164392873644829,0.7658184766769409,0.5478057265281677
Tunisia,2021,4.499485969543457,9.254252433776855,0.7113215327262878,67.0,0.5912299156188965,-0.2016417682170868,0.932745635509491,0.31718990206718445
Turkey,2021,4.366639614105225,10.330370903015137,0.736194908618927,68.75,0.4465276300907135,-0.03310822695493698,0.8101659417152405,0.42601436376571655
Uganda,2021,4.224533557891846,7.68556022644043,0.79334956407547,59.150001525878906,0.7106211185455322,0.08855636417865753,0.8350117206573486,0.5587599277496338
Ukraine,2021,5.311355113983154,9.462496757507324,0.8793085217475891,64.55000305175781,0.7699043154716492,0.1708373874425888,0.9223509430885315,0.21376551687717438
United Kingdom,2021,6.86696195602417,10.71970272064209,0.8540295958518982,70.30000305175781,0.8150771856307983,0.25490349531173706,0.44752657413482666,0.39475399255752563
United States,2021,6.95908784866333,11.05517292022705,0.9200087189674377,65.8499984741211,0.8157348036766052,0.19220347702503204,0.6865915656089783,0.40462520718574524
Uruguay,2021,6.501700401306152,10.010916709899902,0.9138731360435486,67.5,0.8987239003181458,-0.047106675803661346,0.6056421399116516,0.4858308732509613
Uzbekistan,2021,6.18530797958374,8.941695213317871,0.8955037593841553,65.30000305175781,0.9274152517318726,0.18877451121807098,0.6615616679191589,0.9126733541488647
Zambia,2021,3.0821549892425537,8.087629318237305,0.6190710067749023,55.25,0.8325737714767456,0.14283685386180878,0.8240308165550232,0.6976777911186218
Zimbabwe,2021,3.15457820892334,8.153247833251953,0.6851505041122437,54.04999923706055,0.6676361560821533,-0.10943900793790817,0.7569451928138733,0.6657031774520874
